STATION,STATION_NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19780930,-9999,-9999,-9999,-9999,-9999,42
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781001,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781002,-9999,-9999,-9999,-9999,-9999,22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781003,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781004,-9999,-9999,-9999,-9999,-9999,22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781005,-9999,-9999,-9999,-9999,-9999,24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781006,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781007,-9999,-9999,-9999,-9999,-9999,37
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781008,-9999,-9999,-9999,-9999,-9999,30
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781009,-9999,-9999,-9999,-9999,-9999,30
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781010,-9999,-9999,-9999,-9999,-9999,33
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781011,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781012,-9999,-9999,-9999,-9999,-9999,18
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781013,-9999,-9999,-9999,-9999,-9999,23
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781014,-9999,-9999,-9999,-9999,-9999,25
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781015,-9999,-9999,-9999,-9999,-9999,28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781016,-9999,-9999,-9999,-9999,-9999,29
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781017,-9999,-9999,-9999,-9999,-9999,30
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781018,-9999,-9999,-9999,-9999,-9999,25
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781019,-9999,-9999,-9999,-9999,-9999,31
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781020,-9999,-9999,-9999,-9999,-9999,27
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781021,-9999,-9999,-9999,-9999,-9999,23
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781022,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781023,-9999,-9999,-9999,-9999,-9999,23
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781024,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781025,-9999,-9999,-9999,-9999,-9999,18
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781026,-9999,-9999,-9999,-9999,-9999,22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781027,-9999,-9999,-9999,-9999,-9999,35
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781028,-9999,-9999,-9999,-9999,-9999,31
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781029,-9999,-9999,-9999,-9999,-9999,8
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781030,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781031,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781101,-9999,-9999,-9999,-9999,-9999,22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781102,-9999,-9999,-9999,-9999,-9999,24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781104,-9999,-9999,-9999,-9999,-9999,19
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781105,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781106,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781107,-9999,-9999,-9999,-9999,-9999,31
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781108,-9999,-9999,-9999,-9999,-9999,29
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781109,-9999,-9999,-9999,-9999,-9999,3
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781110,-9999,-9999,-9999,-9999,-9999,6
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781111,-9999,-9999,-9999,-9999,-9999,16
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781112,-9999,-9999,-9999,-9999,-9999,9
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781113,-9999,-9999,-9999,-9999,-9999,20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781114,-9999,-9999,-9999,-9999,-9999,-6
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781115,-9999,-9999,-9999,-9999,-9999,-1
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781116,-9999,-9999,-9999,-9999,-9999,13
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781117,-9999,-9999,-9999,-9999,-9999,20
