Series id,Year,Period,Value
LNS14000000,1990,M01,5.4
LNS14000000,1990,M02,5.3
LNS14000000,1990,M03,5.2
LNS14000000,1990,M04,5.4
LNS14000000,1990,M05,5.4
LNS14000000,1990,M06,5.2
LNS14000000,1990,M07,5.5
LNS14000000,1990,M08,5.7
LNS14000000,1990,M09,5.9
LNS14000000,1990,M10,5.9
LNS14000000,1990,M11,6.2
LNS14000000,1990,M12,6.3
LNS14000000,1991,M01,6.4
LNS14000000,1991,M02,6.6
LNS14000000,1991,M03,6.8
LNS14000000,1991,M04,6.7
LNS14000000,1991,M05,6.9
LNS14000000,1991,M06,6.9
LNS14000000,1991,M07,6.8
LNS14000000,1991,M08,6.9
LNS14000000,1991,M09,6.9
LNS14000000,1991,M10,7.0
LNS14000000,1991,M11,7.0
LNS14000000,1991,M12,7.3
LNS14000000,1992,M01,7.3
LNS14000000,1992,M02,7.4
LNS14000000,1992,M03,7.4
LNS14000000,1992,M04,7.4
LNS14000000,1992,M05,7.6
LNS14000000,1992,M06,7.8
LNS14000000,1992,M07,7.7
LNS14000000,1992,M08,7.6
LNS14000000,1992,M09,7.6
LNS14000000,1992,M10,7.3
LNS14000000,1992,M11,7.4
LNS14000000,1992,M12,7.4
LNS14000000,1993,M01,7.3
LNS14000000,1993,M02,7.1
LNS14000000,1993,M03,7.0
LNS14000000,1993,M04,7.1
LNS14000000,1993,M05,7.1
LNS14000000,1993,M06,7.0
LNS14000000,1993,M07,6.9
LNS14000000,1993,M08,6.8
LNS14000000,1993,M09,6.7
LNS14000000,1993,M10,6.8
LNS14000000,1993,M11,6.6
LNS14000000,1993,M12,6.5
LNS14000000,1994,M01,6.6
LNS14000000,1994,M02,6.6
LNS14000000,1994,M03,6.5
LNS14000000,1994,M04,6.4
LNS14000000,1994,M05,6.1
LNS14000000,1994,M06,6.1
LNS14000000,1994,M07,6.1
LNS14000000,1994,M08,6.0
LNS14000000,1994,M09,5.9
LNS14000000,1994,M10,5.8
LNS14000000,1994,M11,5.6
LNS14000000,1994,M12,5.5
LNS14000000,1995,M01,5.6
LNS14000000,1995,M02,5.4
LNS14000000,1995,M03,5.4
LNS14000000,1995,M04,5.8
LNS14000000,1995,M05,5.6
LNS14000000,1995,M06,5.6
LNS14000000,1995,M07,5.7
LNS14000000,1995,M08,5.7
LNS14000000,1995,M09,5.6
LNS14000000,1995,M10,5.5
LNS14000000,1995,M11,5.6
LNS14000000,1995,M12,5.6
LNS14000000,1996,M01,5.6
LNS14000000,1996,M02,5.5
LNS14000000,1996,M03,5.5
LNS14000000,1996,M04,5.6
LNS14000000,1996,M05,5.6
LNS14000000,1996,M06,5.3
LNS14000000,1996,M07,5.5
LNS14000000,1996,M08,5.1
LNS14000000,1996,M09,5.2
LNS14000000,1996,M10,5.2
LNS14000000,1996,M11,5.4
LNS14000000,1996,M12,5.4
LNS14000000,1997,M01,5.3
LNS14000000,1997,M02,5.2
LNS14000000,1997,M03,5.2
LNS14000000,1997,M04,5.1
LNS14000000,1997,M05,4.9
LNS14000000,1997,M06,5.0
LNS14000000,1997,M07,4.9
