month,visitiors
"1979-01-01",23605
"1979-02-01",31992
"1979-03-01",17813
"1979-04-01",34095
"1979-05-01",108952
"1979-06-01",313924
"1979-07-01",493902
"1979-08-01",493915
"1979-09-01",262786
"1979-10-01",76542
"1979-11-01",12698
"1979-12-01",22684
"1980-01-01",24757
"1980-02-01",36373
"1980-03-01",28112
"1980-04-01",32466
"1980-05-01",101988
"1980-06-01",325211
"1980-07-01",557810
"1980-08-01",523549
"1980-09-01",229396
"1980-10-01",93240
"1980-11-01",25773
"1980-12-01",21594
"1981-01-01",24924
"1981-02-01",28590
"1981-03-01",19305
"1981-04-01",21342
"1981-05-01",158762
"1981-06-01",421817
"1981-07-01",701758
"1981-08-01",651977
"1981-09-01",346906
"1981-10-01",91385
"1981-11-01",30202
"1981-12-01",24863
"1982-01-01",22523
"1982-02-01",32204
"1982-03-01",25325
"1982-04-01",28584
"1982-05-01",148257
"1982-06-01",413052
"1982-07-01",688061
"1982-08-01",626834
"1982-09-01",281287
"1982-10-01",74181
"1982-11-01",16673
"1982-12-01",11916
"1983-01-01",18329
"1983-02-01",25647
"1983-03-01",15671
"1983-04-01",17935
"1983-05-01",123437
"1983-06-01",396890
"1983-07-01",704745
"1983-08-01",604247
"1983-09-01",314919
"1983-10-01",103385
"1983-11-01",11955
"1983-12-01",10082
"1984-01-01",18864
"1984-02-01",30067
"1984-03-01",11372
"1984-04-01",18303
"1984-05-01",127555
"1984-06-01",379837
"1984-07-01",667307
"1984-08-01",586631
"1984-09-01",287141
"1984-10-01",76118
"1984-11-01",2273
"1984-12-01",16559
"1985-01-01",20919
"1985-02-01",30590
"1985-03-01",9611
"1985-04-01",21994
"1985-05-01",159597
"1985-06-01",401168
"1985-07-01",648994
"1985-08-01",572352
"1985-09-01",261850
"1985-10-01",72944
"1985-11-01",6726
"1985-12-01",19414
"1986-01-01",24708
"1986-02-01",29684
"1986-03-01",20165
"1986-04-01",21681
"1986-05-01",147767
"1986-06-01",427968
"1986-07-01",663205
"1986-08-01",614295
"1986-09-01",295089
"1986-10-01",94106
"1986-11-01",6414
"1986-12-01",18674
"1987-01-01",27238
"1987-02-01",32559
"1987-03-01",12310
"1987-04-01",31938
"1987-05-01",185705
"1987-06-01",447465
"1987-07-01",685128
"1987-08-01",626537
"1987-09-01",361842
"1987-10-01",122637
"1987-11-01",19842
"1987-12-01",19993
"1988-01-01",25706
"1988-02-01",35936
"1988-03-01",18470
"1988-04-01",22999
"1988-05-01",175285
"1988-06-01",442400
"1988-07-01",636295
"1988-08-01",440130
"1988-09-01",176833
"1988-10-01",170504
"1988-11-01",18510
"1988-12-01",19045
"1989-01-01",24328
"1989-02-01",30768
"1989-03-01",22163
"1989-04-01",25292
"1989-05-01",216163
"1989-06-01",467193
"1989-07-01",696587
"1989-08-01",608248
"1989-09-01",403579
"1989-10-01",123454
"1989-11-01",6791
"1989-12-01",19876
"1990-01-01",25884
"1990-02-01",33285
"1990-03-01",19372
"1990-04-01",29242
"1990-05-01",203712
"1990-06-01",526586
"1990-07-01",760520
"1990-08-01",674454
"1990-09-01",414563
"1990-10-01",111145
"1990-11-01",8117
"1990-12-01",16692
"1991-01-01",28851
"1991-02-01",38050
"1991-03-01",19946
"1991-04-01",19875
"1991-05-01",188798
"1991-06-01",499107
"1991-07-01",796656
"1991-08-01",721103
"1991-09-01",432948
"1991-10-01",144944
"1991-11-01",6261
