month,TMAX,TMIN,TAVG,PRCP
1990-01-01,44,-5,26.870967741935484,8.799999999999999
1990-02-01,50,-14,23.296296296296298,6.299999999999998
1990-03-01,56,2,32.58064516129032,2.9000000000000004
1990-04-01,68,11,40.166666666666664,5.4
1990-05-01,67,12,41.806451612903224,4.0
1990-06-01,87,31,54.666666666666664,1.7000000000000002
1990-07-01,85,37,58.75,1.1
1990-08-01,83,36,56.12903225806452,1.3000000000000005
1990-09-01,79,30,52.43333333333333,1.0
1990-10-01,64,6,32.733333333333334,4.899999999999999
1990-11-01,51,-4,23.766666666666666,4.8999999999999995
1990-12-01,44,-34,4.774193548387097,4.4
1991-01-01,33,-24,12.548387096774194,3.900000000000001
1991-02-01,50,1,25.444444444444443,2.8000000000000003
1991-03-01,54,0,24.551724137931036,7.899999999999999
1991-04-01,60,7,29.275862068965516,4.699999999999998
1991-05-01,69,10,38.29032258064516,6.099999999999999
1991-06-01,71,28,48.310344827586206,1.5
1991-07-01,81,34,58.29032258064516,0.30000000000000004
1991-08-01,80,37,57.29032258064516,0.7
1991-09-01,76,21,46.96666666666667,2.4000000000000004
1991-10-01,68,-7,34.903225806451616,3.2
1991-11-01,44,-11,18.733333333333334,8.1
1991-12-01,36,-12,15.1,3.8000000000000007
1992-01-01,45,-12,16.032258064516128,1.4000000000000001
1992-02-01,51,-2,23.862068965517242,7.0
1992-03-01,54,-1,30.466666666666665,1.8000000000000005
1992-04-01,66,7,36.5,6.199999999999998
1992-05-01,71,21,45.806451612903224,0.7
1992-06-01,77,30,49.733333333333334,3.6000000000000005
1992-07-01,77,33,52.774193548387096,1.4
1992-08-01,86,25,55.774193548387096,1.7000000000000002
1992-09-01,70,19,44.666666666666664,2.5
1992-10-01,71,10,37.67741935483871,2.3
1992-11-01,42,-5,18.133333333333333,3.9000000000000004
1992-12-01,34,-16,11.774193548387096,10.299999999999999
1993-01-01,46,-15,12.580645161290322,5.1000000000000005
1993-02-01,46,-18,15.142857142857142,5.6
1993-03-01,54,-17,25.870967741935484,5.099999999999999
1993-04-01,52,8,29.20689655172414,6.5
1993-05-01,73,19,42.74193548387097,3.9
1993-06-01,71,24,44.666666666666664,3.7
1993-07-01,74,31,47.903225806451616,3.2
1993-08-01,73,30,50.32142857142857,0.6000000000000001
1993-09-01,70,22,45.310344827586206,0.7
1993-10-01,66,3,34.58620689655172,2.6
1993-11-01,43,-20,17.20689655172414,1.7
1993-12-01,39,-3,16.51851851851852,4.999999999999999
1994-01-01,40,-12,17.615384615384617,4.499999999999999
1994-02-01,44,-6,16.285714285714285,8.4
1994-03-01,56,-6,27.096774193548388,1.6
1994-04-01,69,5,34.38461538461539,2.3000000000000007
1994-05-01,70,23,44.74193548387097,3.0
1994-06-01,75,27,47.05263157894737,2.5
1994-07-01,85,40,62.23076923076923,0.2
1994-08-01,83,37,58.806451612903224,0.30000000000000004
1994-09-01,74,25,50.36666666666667,0.5
1994-10-01,58,9,33.1,3.500000000000001
1994-11-01,40,-7,15.866666666666667,7.699999999999998
1994-12-01,40,-17,16.838709677419356,8.099999999999998
1995-01-01,35,-21,15.935483870967742,8.7
1995-02-01,53,-19,23.428571428571427,5.3
1995-03-01,49,-8,23.258064516129032,9.499999999999998
1995-04-01,57,4,30.0,5.4
1995-05-01,64,12,38.74193548387097,3.3000000000000007
1995-06-01,71,21,45.7,2.4000000000000004
1995-07-01,79,33,54.225806451612904,1.5000000000000002
1995-08-01,80,31,56.064516129032256,2.3000000000000003
1995-09-01,77,14,47.06896551724138,0.9
1995-10-01,62,6,31.806451612903224,4.3
1995-11-01,46,-6,26.366666666666667,12.299999999999997
1995-12-01,40,-10,16.580645161290324,7.1
1996-01-01,39,-25,13.0,9.299999999999999
1996-02-01,47,-9999,17.24137931034483,8.6
1996-03-01,53,-9999,24.193548387096776,5.8
1996-04-01,66,5,31.133333333333333,7.1000000000000005
1996-05-01,66,15,37.193548387096776,7.499999999999998
1996-06-01,77,23,51.166666666666664,2.0
1996-07-01,79,40,58.83870967741935,1.2
1996-08-01,81,32,57.03225806451613,0.6
1996-09-01,75,16,43.5,2.1
1996-10-01,67,4,34.935483870967744,2.3000000000000003
1996-11-01,49,0,24.233333333333334,9.999999999999998
1996-12-01,35,-16,16.903225806451612,23.6
1997-01-01,42,-16,14.387096774193548,12.8
1997-02-01,43,-13,15.285714285714286,2.9000000000000004
1997-03-01,52,-3,24.774193548387096,4.7
1997-04-01,55,-9,27.866666666666667,6.8999999999999995
1997-05-01,69,17,41.32258064516129,3.9
1997-06-01,73,28,50.03333333333333,2.2
1997-07-01,76,30,53.806451612903224,2.5000000000000004
1997-08-01,79,39,55.54838709677419,2.2
1997-09-01,72,-9999,47.8,3.2
1997-10-01,68,9,33.645161290322584,3.500000000000001
1997-11-01,52,0,23.2,5.2
1997-12-01,35,-11,14.03225806451613,3.3
1998-01-01,35,-5,19.06451612903226,10.799999999999995
1998-02-01,45,-5,19.428571428571427,2.9000000000000004
1998-03-01,51,-9,22.966666666666665,6.0
1998-04-01,65,5,31.866666666666667,3.5000000000000004
1998-05-01,69,23,40.58064516129032,3.7000000000000006
1998-06-01,73,24,42.333333333333336,4.8999999999999995
1998-07-01,80,44,61.38709677419355,0.7
1998-08-01,81,37,57.67741935483871,1.8
1998-09-01,78,29,50.9,2.6000000000000005
1998-10-01,59,19,35.806451612903224,1.4
1998-11-01,43,7,24.833333333333332,8.999999999999998
1998-12-01,38,-25,12.466666666666667,6.4
1999-01-01,37,-11,17.193548387096776,9.1
1999-02-01,44,-10,18.071428571428573,10.0
1999-03-01,63,-14,24.93548387096774,3.700000000000002
1999-04-01,63,-2,29.433333333333334,3.2
1999-05-01,77,9,37.61290322580645,4.6000000000000005
1999-06-01,72,25,46.766666666666666,3.6000000000000005
1999-07-01,81,35,57.166666666666664,0.7999999999999999
1999-08-01,78,37,57.064516129032256,1.7000000000000002
1999-09-01,68,-9999,45.766666666666666,1.4
1999-10-01,63,17,40.29032258064516,0.7
1999-11-01,56,11,33.6,4.199999999999999
1999-12-01,44,2,19.903225806451612,5.0
2000-01-01,42,-10,19.70967741935484,6.699999999999998
2000-02-01,42,4,25.586206896551722,6.999999999999998
2000-03-01,54,1,26.774193548387096,4.5
2000-04-01,61,6,37.166666666666664,2.6
2000-05-01,61,21,42.32258064516129,5.6000000000000005
2000-06-01,74,30,51.63333333333333,3.0000000000000004
2000-07-01,83,39,60.06666666666667,0.4
2000-08-01,82,40,59.096774193548384,0.9999999999999999
2000-09-01,78,19,46.9,0.7999999999999999
2000-10-01,59,21,37.41935483870968,3.5999999999999996
2000-11-01,45,1,18.533333333333335,2.6
2000-12-01,36,-2,18.483870967741936,4.6
2001-01-01,42,-9,17.838709677419356,0.7
2001-02-01,41,-21,18.678571428571427,4.8
2001-03-01,54,8,28.806451612903224,2.6000000000000005
2001-04-01,62,8,33.9,4.5
2001-05-01,71,14,44.935483870967744,4.1
2001-06-01,76,27,51.7,2.4000000000000004
2001-07-01,79,42,59.12903225806452,1.1
2001-08-01,83,40,60.225806451612904,1.0
2001-09-01,74,26,51.7,1.6
2001-10-01,65,17,37.225806451612904,4.1000000000000005
2001-11-01,51,2,30.1,4.8
2001-12-01,35,-3,16.838709677419356,6.5
2002-01-01,39,-11,15.870967741935484,5.499999999999998
2002-02-01,42,-16,17.607142857142858,2.6
2002-03-01,56,-14,23.0,6.8999999999999995
2002-04-01,55,9,33.36666666666667,6.299999999999999
2002-05-01,71,16,41.38709677419355,2.7
2002-06-01,78,27,51.53333333333333,3.1000000000000005
2002-07-01,87,38,61.45161290322581,1.4
2002-08-01,72,36,55.096774193548384,0.8999999999999999
2002-09-01,71,28,48.333333333333336,2.9000000000000004
2002-10-01,54,8,34.12903225806452,2.5000000000000004
2002-11-01,47,0,25.033333333333335,3.4000000000000004
2002-12-01,40,-3,21.516129032258064,6.1
2003-01-01,42,4,25.548387096774192,8.3
2003-02-01,40,-27,17.714285714285715,3.900000000000001
2003-03-01,54,2,28.322580645161292,6.1
2003-04-01,62,4,34.53333333333333,2.8000000000000007
2003-05-01,75,14,42.70967741935484,3.5
2003-06-01,74,28,50.43333333333333,0.9999999999999999
2003-07-01,84,46,64.06451612903226,0.5
2003-08-01,87,43,60.06666666666667,0.9
2003-09-01,75,24,47.93333333333333,0.9000000000000001
2003-10-01,68,11,41.29032258064516,1.8
2003-11-01,42,-6,20.633333333333333,7.699999999999998
2003-12-01,41,2,21.419354838709676,10.000000000000002
2004-01-01,42,-10,18.533333333333335,6.0
2004-02-01,52,-13,20.137931034482758,3.2
2004-03-01,60,10,32.45161290322581,1.7000000000000002
2004-04-01,60,20,37.2,2.5000000000000004
2004-05-01,62,26,40.41935483870968,6.1
2004-06-01,69,33,49.666666666666664,1.7000000000000004
2004-07-01,83,37,58.41935483870968,2.3
2004-08-01,80,37,56.096774193548384,3.8000000000000003
2004-09-01,73,27,48.4,3.0000000000000004
2004-10-01,63,9,39.516129032258064,5.1
2004-11-01,57,-6,28.466666666666665,1.8000000000000003
2004-12-01,45,-16,23.483870967741936,5.9
2005-01-01,50,5,24.741935483870968,3.0
2005-02-01,51,-11,23.714285714285715,3.5
2005-03-01,52,3,29.419354838709676,3.6
2005-04-01,60,14,36.766666666666666,1.4000000000000001
2005-05-01,67,20,43.354838709677416,6.099999999999999
2005-06-01,80,31,49.2,3.900000000000001
2005-07-01,84,41,62.193548387096776,0.6
2005-08-01,80,36,57.41935483870968,2.6
2005-09-01,75,31,48.833333333333336,2.6
2005-10-01,67,22,41.32258064516129,3.8000000000000003
2005-11-01,50,2,28.1,8.0
2005-12-01,39,-18,19.580645161290324,10.5
2006-01-01,39,-1,22.387096774193548,9.1
2006-02-01,47,-22,19.0,2.9
2006-03-01,51,-12,26.483870967741936,4.799999999999998
2006-04-01,67,12,38.06666666666667,3.9
2006-05-01,75,19,45.58064516129032,4.000000000000001
2006-06-01,79,37,55.4,1.4000000000000004
2006-07-01,85,44,63.806451612903224,0.8999999999999999
2006-08-01,79,34,58.16129032258065,1.2000000000000002
2006-09-01,79,28,49.43333333333333,1.5999999999999999
2006-10-01,63,13,37.193548387096776,4.2
2006-11-01,50,-6,28.666666666666668,7.199999999999999
2006-12-01,42,-9,20.93548387096774,5.9
2007-01-01,44,-25,15.290322580645162,4.000000000000001
2007-02-01,48,-16,25.285714285714285,6.400000000000001
2007-03-01,56,-7,34.12903225806452,1.7000000000000002
2007-04-01,68,13,38.3,3.0000000000000004
2007-05-01,71,24,47.03225806451613,1.4000000000000001
2007-06-01,81,33,56.43333333333333,0.9999999999999999
2007-07-01,86,48,66.16129032258064,1.6
2007-08-01,82,41,60.096774193548384,1.7000000000000002
2007-09-01,79,31,50.62068965517241,2.0
2007-10-01,63,19,38.83870967741935,6.8999999999999995
2007-11-01,51,-2,29.866666666666667,6.1
2007-12-01,37,-2,18.29032258064516,6.699999999999999
2008-01-01,37,-18,16.0,6.9
2008-02-01,45,5,22.310344827586206,4.3
2008-03-01,45,-4,25.161290322580644,8.399999999999999
2008-04-01,59,2,30.733333333333334,3.600000000000001
2008-05-01,71,23,42.38709677419355,5.0
2008-06-01,78,29,51.166666666666664,3.5
2008-07-01,81,40,62.03225806451613,0.2
2008-08-01,81,35,60.12903225806452,0.6000000000000001
2008-09-01,74,33,50.1,0.8
2008-10-01,72,17,40.0,2.4
2008-11-01,58,13,33.766666666666666,6.0
2008-12-01,39,-8,19.06451612903226,7.5
2009-01-01,45,-12,21.516129032258064,5.699999999999998
2009-02-01,44,-5,23.642857142857142,3.1
2009-03-01,58,2,27.566666666666666,7.3
2009-04-01,60,0,36.53333333333333,5.699999999999999
2009-05-01,75,18,45.45161290322581,4.199999999999999
2009-06-01,76,34,49.166666666666664,5.699999999999999
2009-07-01,78,35,57.12903225806452,1.1
2009-08-01,79,33,55.32258064516129,1.7000000000000002
2009-09-01,74,28,52.86666666666667,0.5
2009-10-01,58,10,31.387096774193548,3.8000000000000007
2009-11-01,53,9,27.133333333333333,2.8000000000000003
2009-12-01,31,-14,12.709677419354838,3.900000000000001
2010-01-01,41,-22,20.677419354838708,4.1000000000000005
2010-02-01,48,-9,19.714285714285715,1.3
2010-03-01,50,8,28.225806451612904,3.6
2010-04-01,63,7,32.733333333333334,5.000000000000001
2010-05-01,65,10,36.096774193548384,4.6000000000000005
2010-06-01,76,29,47.56666666666667,8.599999999999998
2010-07-01,80,36,57.32258064516129,1.0
2010-08-01,78,33,54.645161290322584,2.3000000000000003
2010-09-01,71,26,49.724137931034484,1.2000000000000002
2010-10-01,72,17,40.41935483870968,5.4
2010-11-01,51,-9,23.366666666666667,5.2
